"from","to","weight","edge_value","edge_id","map_id","map_date","speaker","value.x","value.y"
21,39,1,1,"1",383,"2011-04-06","Rutte Mark","",""
294,39,1,1,"2",383,"2011-04-06","Rutte Mark","",""
370,39,1,1,"3",383,"2011-04-06","Rutte Mark","",""
380,39,1,1,"4",383,"2011-04-06","Rutte Mark","",""
461,39,1,1,"5",383,"2011-04-06","Rutte Mark","",""
562,39,1,1,"6",383,"2011-04-06","Rutte Mark","",""
582,39,1,1,"7",383,"2011-04-06","Rutte Mark","",""
583,39,1,1,"8",383,"2011-04-06","Rutte Mark","",""
586,39,1,1,"9",383,"2011-04-06","Rutte Mark","",""
557,316,1,1,"10",383,"2011-04-06","Rutte Mark","",""
294,339,1,1,"11",383,"2011-04-06","Rutte Mark","",""
557,456,1,1,"12",383,"2011-04-06","Rutte Mark","",""
294,557,1,1,"13",383,"2011-04-06","Rutte Mark","",""
80,39,1,1,"14",384,"2011-09-27","Rutte Mark","",""
372,39,1,1,"15",384,"2011-09-27","Rutte Mark","",""
469,39,1,1,"16",384,"2011-09-27","Rutte Mark","",""
258,493,1,-1,"17",384,"2011-09-27","Rutte Mark","",""
258,550,1,0,"18",384,"2011-09-27","Rutte Mark","",""
469,550,1,1,"19",384,"2011-09-27","Rutte Mark","",""
486,550,1,0,"20",384,"2011-09-27","Rutte Mark","",""
258,561,1,-1,"21",384,"2011-09-27","Rutte Mark","",""
132,566,1,1,"22",384,"2011-09-27","Rutte Mark","",""
372,607,1,1,"23",384,"2011-09-27","Rutte Mark","",""
258,633,1,-1,"24",384,"2011-09-27","Rutte Mark","",""
469,633,1,1,"25",384,"2011-09-27","Rutte Mark","",""
550,633,1,1,"26",384,"2011-09-27","Rutte Mark","",""
607,633,1,1,"27",384,"2011-09-27","Rutte Mark","",""
583,40,2,2,"28",280,"2011-10-21","Rutte Mark","",""
25,100,1,1,"29",280,"2011-10-21","Rutte Mark","",""
278,100,1,1,"30",280,"2011-10-21","Rutte Mark","",""
405,148,1,1,"31",280,"2011-10-21","Rutte Mark","",""
609,195,1,1,"32",280,"2011-10-21","Rutte Mark","",""
8,209,1,-1,"33",280,"2011-10-21","Rutte Mark","","negative"
195,209,1,-1,"34",280,"2011-10-21","Rutte Mark","","negative"
524,209,1,-1,"35",280,"2011-10-21","Rutte Mark","","negative"
25,581,1,1,"36",280,"2011-10-21","Rutte Mark","",""
278,581,1,1,"37",280,"2011-10-21","Rutte Mark","",""
81,25,1,-1,"38",386,"2011-11-12","Rutte Mark","",""
209,39,1,-1,"39",386,"2011-11-12","Rutte Mark","negative",""
